image_id,filename,is_negative,verification_status,reward_points,error_type,ground_truth_label,visual_description,filepath
priv_d_0013,priv_d_0013.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp combo bữa sáng gồm một chiếc bánh bao trắng trong hộp xốp và chai sữa đậu nành đặt trên mẹt tre,Ảnh chụp combo bánh bao hấp trắng và chai sữa hạt/sữa đậu nành đặt trên mẹt tre kèm dòng chữ combo trắng sữa 20k.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0013.jpg
priv_d_0014,priv_d_0014.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh chụp ba ly trà sữa Bé Bự đầy ắp topping thạch hoa, trân châu và bánh flan trên bàn kính ngoài trời","Ảnh chụp 3 ly trà sữa nhiều màu sắc (trà xanh, trà khoai môn, trà sữa truyền thống) phủ đầy thạch và trân châu của quán Bé Bự.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0014.jpg
priv_d_0015,priv_d_0015.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp tay người cầm một con cua biển tươi sống bị buộc dây trên nền gạch xốp.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0015.jpg
priv_d_0016,priv_d_0016.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế chai sữa dưỡng thể Olay Body Cellscience Optic Glow & Radiance B3+ trên tay kèm các công dụng dưỡng trắng,Ảnh chụp chai sữa dưỡng thể Olay B3+ Optic Glow & Radiance 250ml vòi nhấn kèm thông tin giới thiệu sản phẩm.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0016.jpg
priv_d_0017,priv_d_0017.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp phần bánh mì Doner Kebab tam giác kẹp thịt nướng và bắp cải tím trên thớt gỗ kèm hai chén sốt,Ảnh chụp món bánh mì tam giác Doner Kebab kẹp thịt nướng kèm chén sốt ớt và sốt kem tỏi với dòng chữ bánh mì kebab 20k.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0017.jpg
priv_d_0018,priv_d_0018.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh chụp bánh sinh nhật trang trí chà bông, dâu tây tươi và kem bánh kèm chữ viết chúc mừng sinh nhật Bạn Thư","Ảnh chụp chiếc bánh kem sinh nhật phủ chà bông vàng, viền dâu tây cắt lát và chữ Happy Birthday Bạn Thư iu dấu.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0018.jpg
priv_d_0019,priv_d_0019.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp nhiều mẫu súng đồ chơi mô hình thu nhỏ xếp ngay ngắn cùng thước đo.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0019.jpg
priv_d_0020,priv_d_0020.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế ly cà phê sữa phân tầng có lớp milk foam của quán Mật Tea & Coffee trên tay người cầm,Ảnh chụp ly nước pha chế nhiều tầng của quán Mật Tea & Coffee trên tay khách hàng trước gương.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0020.jpg
priv_d_0021,priv_d_0021.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp túi zip trà chanh lài Trà Chanh Tươi Original lắc và uống kèm đá lạnh trên tay người cầm,Ảnh chụp túi zip đựng trà chanh mát lạnh in chữ Trà chanh tươi Original Lắc và uống kèm chữ Trà chanh lài 12k.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0021.jpg
priv_d_0022,priv_d_0022.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh chụp combo gồm ba quả trứng luộc, rau răm, muối tiêu tắc và một chai sữa đậu nành trên mẹt tre","Ảnh chụp mẹt tre bày ba quả trứng luộc kèm rau răm, đĩa muối tiêu chanh và chai sữa đậu nành với dòng chữ trứng sữa 20k.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0022.jpg
priv_d_0023,priv_d_0023.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp các khay bánh bao trắng mới hấp xếp kín trên hai kệ xe đẩy inox của xưởng làm bánh,Ảnh chụp hai kệ xe đẩy inox nhiều tầng chứa đầy các mẻ bánh bao trắng tròn trong xưởng bánh.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0023.jpg
priv_d_0024,priv_d_0024.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh chụp kệ hàng tạp hóa bày bán các loại dầu gội, sữa tắm và băng vệ sinh thương hiệu Dove, Sunsilk, Clear, Romano, Kotex, Diana, KenKen","Ảnh chụp kệ sắt trưng bày đa dạng sản phẩm tiêu dùng nhanh gồm dầu gội, sữa tắm, khăn giấy và băng vệ sinh.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0024.jpg
priv_d_0025,priv_d_0025.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh phong cảnh biển đảo Phú Quý với thuyền bè trên nền biển xanh và trời mây.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0025.jpg
priv_d_0026,priv_d_0026.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh so sánh kết quả điều trị mụn trước và sau của khách hàng tại spa Kim Beauty.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0026.jpg
priv_d_0027,priv_d_0027.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh ghép giới thiệu các món hoa quả dầm sữa chua dẻo nhiều vị như bơ tươi, xoài, matcha, dâu tây của quán Trà Sữa SHARE",Ảnh ghép nhiều khung hình giới thiệu món hoa quả dầm sữa chua và sữa chua dẻo xắt miếng của quán Trà Sữa SHARE.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0027.jpg
priv_d_0028,priv_d_0028.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế hộp Sữa Tươi Tiệt Trùng Nguyên Chất TH true MILK dung tích 180ml đặt cạnh chậu cây xanh,Ảnh chụp hộp sữa TH true MILK Sữa Tươi Tiệt Trùng Nguyên Chất 180ml trên bàn gỗ kèm thông tin bổ sung canxi.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0028.jpg
priv_d_0029,priv_d_0029.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp hai con khô mực nướng muối ớt tẩm gia vị đỏ cay đặt trên đĩa nhựa xanh,Ảnh chụp hai con khô mực nướng ớt cay đặt trên đĩa nhựa xanh kèm dòng chữ Khô mực nướng muối ớt.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0029.jpg
priv_d_0030,priv_d_0030.jpg,YES (Empty Target),CONFIRMED,0,NONE,,"Ảnh ghép 4 khung hình ghi lại khoảnh khắc đời thường gồm đồ uống, chụp ảnh trước gương và góc phòng ngủ.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0030.jpg
priv_d_0031,priv_d_0031.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp nhiều quả bưởi da xanh và dứa tươi xếp trên nền nhà lót báo.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0031.jpg
priv_d_0032,priv_d_0032.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp gấu bông màu trắng bên cạnh tranh sơn số hóa và tranh ghép hình.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0032.jpg
priv_d_0033,priv_d_0033.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp khung cảnh nhìn từ ban công phòng ra đường phố kiến trúc phong cách châu Âu.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0033.jpg
priv_d_0034,priv_d_0034.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế chai bọt rửa mặt CAPPIR SKIN Facial Cleansing Mousse Fresh Rose Fragrance 150ml kèm bọt trắng trên tay,Ảnh chụp chai sữa rửa mặt tạo bọt CAPPIR SKIN hương hoa hồng 150ml trên tay cùng lớp bọt xốp mềm mịn.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0034.jpg
priv_d_0035,priv_d_0035.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp thảm chùi chân dệt hình thú cưng đặt trước cửa phòng tắm.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0035.jpg
priv_d_0036,priv_d_0036.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp cận cảnh chiếc bánh bao nóng bẻ đôi để lộ nhân thịt xá xíu ngập phô mai béo ngậy trên tay,Ảnh chụp thực tế chiếc bánh bao nhân xá xíu phô mai kéo sợi thơm ngon kèm dòng chữ Truyền thống xá xíu phô mai 25k.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0036.jpg
priv_d_0037,priv_d_0037.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh chụp xe đẩy bán bánh bao nóng hổi với bảng menu các loại nhân thịt xá xíu, gà nấm, xúc xích phô mai và nồi hấp inox",Ảnh chụp quầy xe đẩy bán bánh bao nóng hổi với nồi hấp inox và hình ảnh minh họa các loại nhân bánh bao.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0037.jpg
priv_d_0038,priv_d_0038.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế hộp sáp tẩy trang THE WHOO Gong Jin Hyang Clarifying Cleansing Balm 50ml trên tay người cầm,Ảnh chụp hộp giấy sản phẩm sáp tẩy trang cao cấp The Whoo Gong Jin Hyang dung tích 50ml trên tay.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0038.jpg
priv_d_0039,priv_d_0039.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh phối cảnh không gian nội thất phòng ngủ với bàn trang điểm và hệ tủ kệ gỗ có đèn led.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0039.jpg
priv_d_0040,priv_d_0040.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp hộp xốp đựng cá viên chiên thập cẩm sốt cay Hàn Quốc phủ ngập sốt ớt và hành phi giòn,Ảnh chụp món cá viên chiên thập cẩm đẫm sốt tương ớt Hàn Quốc rắc hành phi trong hộp xốp mang đi.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0040.jpg
priv_d_0041,priv_d_0041.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp hai hộp thức ăn mang đi gồm gà ủ muối và tré trộn nem chả xoài xanh của thương hiệu Diệu Anh Food,Ảnh chụp hai phần đồ ăn đóng hộp gồm gà ủ muối tiêu và tré trộn tỏi ớt kèm số điện thoại của Diệu Anh Food.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0041.jpg
priv_d_0042,priv_d_0042.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Banner giới thiệu thành phần tẩy tế bào chết Centellian24 Madeca Matcha Toning Peeling Gel trên nền gò bột trà xanh,Banner quảng cáo chai gel tẩy da chết Centellian24 Madeca Matcha Toning Peeling Gel 150ml đặt trên đồi bột matcha.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0042.jpg
priv_d_0043,priv_d_0043.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp bộ trang phục áo sơ mi lụa cổ nơ dài tay màu hồng và quần tây ống rộng màu trắng kem.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0043.jpg
priv_d_0044,priv_d_0044.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh banner đồ họa chứa câu trích dẫn chia sẻ trải nghiệm tham gia sự kiện của The Right Turn.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0044.jpg
priv_d_0045,priv_d_0045.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp các bịch cốt rạm đông lạnh đóng gói sẵn cùng đòn chả và món đặc sản xứ Huế của PhePhaFood,Ảnh chụp túi nước cốt rạm đã lọc cầm trên tay cùng các bịch thực phẩm đặc sản chế biến sẵn của thương hiệu PhePhaFood.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0045.jpg
priv_d_0046,priv_d_0046.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp đĩa bánh xếp chay vỏ trong suốt xếp hình bông hoa rưới nước sốt tương và hành phi,Ảnh chụp đĩa bánh xếp chay rưới nước tương và hành phi vàng giòn kèm dòng chữ Bánh xếp chay 30k/ 5 cái.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0046.jpg
priv_d_0047,priv_d_0047.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp hai chiếc bánh đặc sản Món Ngon Xứ Huế gói lá chuối buộc dây trên tay người cầm cùng ớt xiêm xanh,Ảnh chụp thực tế hai chiếc bánh bột lọc/bánh nậm gói lá chuối vuông vắn của PhePhaFood kèm ớt chỉ thiên và hũ mắm.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0047.jpg
priv_d_0048,priv_d_0048.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế hũ kem dưỡng sáng Barbie Skin Glow White Cream trên tay kèm các thông tin công dụng làm mờ thâm nám,Ảnh chụp hũ kem Barbie Skin Glow White Cream dưỡng trắng mờ nám trên tay người cầm trong không gian xe hơi.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0048.jpg
priv_d_0049,priv_d_0049.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Bảng menu giá các loại trà sữa, trà hoa quả, matcha và cà phê của quán đồ uống Mật Tea & Coffee","Bảng thực đơn phân loại đồ uống chi tiết gồm trà sữa gạo rang, trà trái cây và cà phê của Mật Tea & Coffee.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0049.jpg
priv_d_0050,priv_d_0050.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp các vận động viên đang thi đấu bóng đá dưới trời mưa trên sân cỏ nhân tạo.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0050.jpg
priv_d_0051,priv_d_0051.jpg,NO (Positive FMCG),CONFIRMED,0,none,"Kệ trưng bày nhiều sản phẩm hàng tiêu dùng nhanh gồm cà phê hòa tan Café Phố, Nescafe Cà Phê Việt, MacCoffee Cà phê Đen Đá, Kopiko L.A Coffee, trà sữa Hillway và nước yến Green Bird.","Các tầng kệ tạp hóa xếp nhiều loại cà phê hòa tan, trà sữa đóng gói và nước yến sào.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0051.jpg
priv_d_0052,priv_d_0052.jpg,YES (Empty Target),CONFIRMED,0,none,,"Ảnh cận cảnh so sánh kết cấu kem tẩy tế bào chết ba mùi hương hoa anh đào, lựu, đường nâu dừa trên da nhưng không có tên thương hiệu.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0052.jpg
priv_d_0053,priv_d_0053.jpg,NO (Positive FMCG),CONFIRMED,0,none,Chai tinh chất serum L'Oreal Paris Revitalift 1.5% Hyaluronic Acid kèm ống nhỏ giọt và vỏ hộp sản phẩm.,Chai serum L'Oreal Paris Revitalift Hyaluronic Acid đang mở nắp với ống hút serum và vỏ hộp.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0053.jpg
priv_d_0054,priv_d_0054.jpg,YES (Empty Target),CONFIRMED,0,none,,Đĩa bánh mì nướng cắt miếng có nhân kem trứng phô mai tan chảy không có bao bì nhãn mác.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0054.jpg
priv_d_0055,priv_d_0055.jpg,YES (Empty Target),CONFIRMED,0,none,,Ảnh quẹt thử màu son đỏ chili mã BN28 trên lòng bàn tay không có nhãn hiệu bao bì.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0055.jpg
priv_d_0056,priv_d_0056.jpg,NO (Positive FMCG),CONFIRMED,0,none,"Kệ hàng tạp hóa trưng bày các loại dầu ăn Saigon Gold, Umi, nước mắm, hạt nêm Vedan, Aji-ngon, bánh Marine Boy, Jungle Boy và snack Copico.","Các tầng kệ tạp hóa chứa dầu ăn thực vật, hạt nêm gia vị, bánh quy và bim bim snack.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0056.jpg
priv_d_0057,priv_d_0057.jpg,YES (Empty Target),CONFIRMED,0,none,,"Nồi cơm điện mở nắp có cơm cháy vàng bên trong cùng các bát canh, thịt kho và bánh bao trên bàn bếp.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0057.jpg
priv_d_0058,priv_d_0058.jpg,YES (Empty Target),CONFIRMED,0,none,,Đĩa bánh bao nhân thịt hai quả trứng cút cắt đôi kèm dòng chữ Ba3 quầy bảo bảo và giá 15k.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0058.jpg
priv_d_0059,priv_d_0059.jpg,NO (Positive FMCG),CONFIRMED,0,none,Chai bọt rửa mặt Cappir Skin Facial Cleansing Mousse hương hoa hồng 150ml cùng vỏ hộp sản phẩm.,Ảnh quảng cáo chai sữa rửa mặt tạo bọt Cappir Skin Facial Cleansing Mousse hương hoa hồng và vỏ hộp.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0059.jpg
priv_d_0060,priv_d_0060.jpg,YES (Empty Target),CONFIRMED,0,none,,Bánh bao vỏ khoai lang tím nhân phô mai kéo sợi trong xửng hấp kèm chữ giá 20k.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0060.jpg
priv_d_0061,priv_d_0061.jpg,YES (Empty Target),CONFIRMED,0,none,,Cuốn sách tranh thiếu nhi 10 Teddy Bears đặt trên giá gỗ cạnh bảng tên Quán Sách Cindy.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0061.jpg
priv_d_0062,priv_d_0062.jpg,YES (Empty Target),CONFIRMED,0,none,,Ảnh thử màu son hồng mận đất số 11 trên lòng bàn tay không có tên nhãn hàng đầy đủ.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0062.jpg
priv_d_0063,priv_d_0063.jpg,NO (Positive FMCG),CONFIRMED,0,none,Chai bọt rửa mặt Cappir Skin Facial Cleansing Mousse hương hoa hồng 150ml đặt cạnh các bọt xà phòng trắng.,Banner quảng cáo chai sữa rửa mặt dạng bọt Cappir Skin Facial Cleansing Mousse cùng các cụm bọt tuyết trắng.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0063.jpg
priv_d_0064,priv_d_0064.jpg,YES (Empty Target),CONFIRMED,0,none,,Ảnh chụp màn hình nội dung bình luận tranh luận cá nhân trên Facebook qua điện thoại di động.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0064.jpg
priv_d_0065,priv_d_0065.jpg,NO (Positive FMCG),CONFIRMED,0,none,Nhiều hộp và chai bọt rửa mặt Cappir Skin Facial Cleansing Mousse cùng các tuýp mỹ phẩm được xếp thành hàng.,Các hộp và chai sữa rửa mặt tạo bọt Cappir Skin cùng các tuýp kem dưỡng xếp trên chiếu cói.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0065.jpg
priv_d_0066,priv_d_0066.jpg,YES (Empty Target),CONFIRMED,0,none,,Ảnh người mẹ bế em bé sơ sinh kèm dòng chữ chia sẻ mẹo sau sinh không có sản phẩm thương hiệu.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0066.jpg
priv_d_0067,priv_d_0067.jpg,YES (Empty Target),CONFIRMED,0,none,,Bàn tay cầm chiếc kính gọng đen có tròng đổi màu chống nắng kèm chữ giới thiệu tính năng.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0067.jpg
priv_d_0068,priv_d_0068.jpg,NO (Positive FMCG),CONFIRMED,0,none,"Kệ bách hóa trưng bày các hộp quà tổ yến Khánh Hòa, nước ngọt Coca-Cola, Pepsi, Sting, nước tăng lực Red Bull, Revive, trà xanh C2 và trà sữa trân châu Hillway.","Kệ trưng bày phong phú các mặt hàng nước giải khát, tổ yến chưng đóng hộp và trà hòa tan.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0068.jpg
priv_d_0069,priv_d_0069.jpg,NO (Positive FMCG),CONFIRMED,0,none,Hũ sáp tẩy trang The Whoo Gong Jin Hyang Clarifying Cleansing Balm màu vàng nhạt trên tay người cầm.,Cận cảnh hũ sáp tẩy trang cao cấp The Whoo Gong Jin Hyang nắp vàng được cầm trên lòng bàn tay.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0069.jpg
priv_d_0070,priv_d_0070.jpg,NO (Positive FMCG),CONFIRMED,0,none,Tuýp sữa rửa mặt BCL AHA Cleansing Research Wash Cleansing chiết xuất táo cùng các hộp thuốc nhuộm tóc Men's Bigen trong thùng hàng.,Bàn tay cầm tuýp sữa rửa mặt AHA Cleansing Research màu xanh ngọc bên cạnh các hộp thuốc nhuộm Men's Bigen trong thùng các-tông.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0070.jpg
priv_d_0071,priv_d_0071.jpg,NO (Positive FMCG),CONFIRMED,0,none,Banner phản hồi khách hàng về kem chống nắng Lucas Sun Cream SPF 50 PA+++ của Đan Thy Group.,Hình ảnh quảng cáo và tin nhắn đánh giá kem chống nắng Sun Cream Lucas màu cam kèm vỏ hộp.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0071.jpg
priv_d_0072,priv_d_0072.jpg,YES (Empty Target),CONFIRMED,0,none,,Tờ thông tin hướng dẫn trải nghiệm tô tranh tại quán Mật Tea & Coffee.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0072.jpg
priv_d_0073,priv_d_0073.jpg,NO (Positive FMCG),CONFIRMED,0,none,"Các thùng nhựa đựng sữa đặc Ngôi Sao Phương Nam của Vinamilk, bánh xốp dừa Jojo và bánh quy kẹp kem Oreo.","Thùng chứa nhiều hộp sữa đặc Phương Nam Vinamilk và các gói bánh xốp dừa Jojo, bánh quy Oreo.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0073.jpg
priv_d_0074,priv_d_0074.jpg,NO (Positive FMCG),CONFIRMED,0,none,Chai tinh chất dưỡng da Clinique Moisture Surge Active Glow Serum màu hồng đặt trên đĩa hình vỏ sò.,Chai serum cấp ẩm làm sáng da Clinique Moisture Surge màu hồng phấn đặt trên đĩa trang trí.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0074.jpg
priv_d_0075,priv_d_0075.jpg,YES (Empty Target),CONFIRMED,0,none,,Khung cảnh tiệc nướng BBQ ngoài bãi biển của nhóm bốn người dưới bóng cây dừa.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0075.jpg
