image_id,filename,relative_image_path,image_path,source_status,source_error_type,source_visual_description,source_gate,source_summary,final_gate,final_summary,reviewed,reviewer,note
priv_d_0011,priv_d_0011.jpg,../../images/priv_d_0011.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0011.jpg,CONFIRMED,NONE,Banner quảng cáo mascara Browit by Nongchat Lift & Lock màu đen kèm mô tả công dụng làm tơi mi và dưỡng mi.,PRESENT,Banner quảng cáo chuốt mi BROWIT By Nongchat Lift & Lock Mascara màu Sexy Black kèm bao bì hộp và cọ chuốt,PRESENT,Banner quảng cáo chuốt mi BROWIT By Nongchat Lift & Lock Mascara màu Sexy Black kèm bao bì hộp và cọ chuốt,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0012,priv_d_0012.jpg,../../images/priv_d_0012.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0012.jpg,CONFIRMED,NONE,Ảnh chụp các phần bánh cuộn kem matcha phủ bột trà xanh mịn màng trên đĩa sứ trắng.,PRESENT,Ảnh chụp cận cảnh cuộn bánh Matcha roll kem tươi phủ bột trà xanh cắt lát trên đĩa sứ trắng,PRESENT,Ảnh chụp cận cảnh cuộn bánh Matcha roll kem tươi phủ bột trà xanh cắt lát trên đĩa sứ trắng,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0013,priv_d_0013.jpg,../../images/priv_d_0013.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0013.jpg,CONFIRMED,NONE,Ảnh chụp combo bánh bao hấp trắng và chai sữa hạt/sữa đậu nành đặt trên mẹt tre kèm dòng chữ combo trắng sữa 20k.,PRESENT,Ảnh chụp combo bữa sáng gồm một chiếc bánh bao trắng trong hộp xốp và chai sữa đậu nành đặt trên mẹt tre,PRESENT,Ảnh chụp combo bữa sáng gồm một chiếc bánh bao trắng trong hộp xốp và chai sữa đậu nành đặt trên mẹt tre,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0014,priv_d_0014.jpg,../../images/priv_d_0014.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0014.jpg,CONFIRMED,NONE,"Ảnh chụp 3 ly trà sữa nhiều màu sắc (trà xanh, trà khoai môn, trà sữa truyền thống) phủ đầy thạch và trân châu của quán Bé Bự.",PRESENT,"Ảnh chụp ba ly trà sữa Bé Bự đầy ắp topping thạch hoa, trân châu và bánh flan trên bàn kính ngoài trời",PRESENT,"Ảnh chụp ba ly trà sữa Bé Bự đầy ắp topping thạch hoa, trân châu và bánh flan trên bàn kính ngoài trời",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0015,priv_d_0015.jpg,../../images/priv_d_0015.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0015.jpg,CONFIRMED,NONE,Ảnh chụp tay người cầm một con cua biển tươi sống bị buộc dây trên nền gạch xốp.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0016,priv_d_0016.jpg,../../images/priv_d_0016.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0016.jpg,CONFIRMED,NONE,Ảnh chụp chai sữa dưỡng thể Olay B3+ Optic Glow & Radiance 250ml vòi nhấn kèm thông tin giới thiệu sản phẩm.,PRESENT,Ảnh chụp thực tế chai sữa dưỡng thể Olay Body Cellscience Optic Glow & Radiance B3+ trên tay kèm các công dụng dưỡng trắng,PRESENT,Ảnh chụp thực tế chai sữa dưỡng thể Olay Body Cellscience Optic Glow & Radiance B3+ trên tay kèm các công dụng dưỡng trắng,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0017,priv_d_0017.jpg,../../images/priv_d_0017.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0017.jpg,CONFIRMED,NONE,Ảnh chụp món bánh mì tam giác Doner Kebab kẹp thịt nướng kèm chén sốt ớt và sốt kem tỏi với dòng chữ bánh mì kebab 20k.,PRESENT,Ảnh chụp phần bánh mì Doner Kebab tam giác kẹp thịt nướng và bắp cải tím trên thớt gỗ kèm hai chén sốt,PRESENT,Ảnh chụp phần bánh mì Doner Kebab tam giác kẹp thịt nướng và bắp cải tím trên thớt gỗ kèm hai chén sốt,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0018,priv_d_0018.jpg,../../images/priv_d_0018.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0018.jpg,CONFIRMED,NONE,"Ảnh chụp chiếc bánh kem sinh nhật phủ chà bông vàng, viền dâu tây cắt lát và chữ Happy Birthday Bạn Thư iu dấu.",PRESENT,"Ảnh chụp bánh sinh nhật trang trí chà bông, dâu tây tươi và kem bánh kèm chữ viết chúc mừng sinh nhật Bạn Thư",PRESENT,"Ảnh chụp bánh sinh nhật trang trí chà bông, dâu tây tươi và kem bánh kèm chữ viết chúc mừng sinh nhật Bạn Thư",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0019,priv_d_0019.jpg,../../images/priv_d_0019.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0019.jpg,CONFIRMED,NONE,Ảnh chụp nhiều mẫu súng đồ chơi mô hình thu nhỏ xếp ngay ngắn cùng thước đo.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0020,priv_d_0020.jpg,../../images/priv_d_0020.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0020.jpg,CONFIRMED,NONE,Ảnh chụp ly nước pha chế nhiều tầng của quán Mật Tea & Coffee trên tay khách hàng trước gương.,PRESENT,Ảnh chụp thực tế ly cà phê sữa phân tầng có lớp milk foam của quán Mật Tea & Coffee trên tay người cầm,PRESENT,Ảnh chụp thực tế ly cà phê sữa phân tầng có lớp milk foam của quán Mật Tea & Coffee trên tay người cầm,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0021,priv_d_0021.jpg,../../images/priv_d_0021.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0021.jpg,CONFIRMED,NONE,Ảnh chụp túi zip đựng trà chanh mát lạnh in chữ Trà chanh tươi Original Lắc và uống kèm chữ Trà chanh lài 12k.,PRESENT,Ảnh chụp túi zip trà chanh lài Trà Chanh Tươi Original lắc và uống kèm đá lạnh trên tay người cầm,PRESENT,Ảnh chụp túi zip trà chanh lài Trà Chanh Tươi Original lắc và uống kèm đá lạnh trên tay người cầm,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0022,priv_d_0022.jpg,../../images/priv_d_0022.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0022.jpg,CONFIRMED,NONE,"Ảnh chụp mẹt tre bày ba quả trứng luộc kèm rau răm, đĩa muối tiêu chanh và chai sữa đậu nành với dòng chữ trứng sữa 20k.",PRESENT,"Ảnh chụp combo gồm ba quả trứng luộc, rau răm, muối tiêu tắc và một chai sữa đậu nành trên mẹt tre",PRESENT,"Ảnh chụp combo gồm ba quả trứng luộc, rau răm, muối tiêu tắc và một chai sữa đậu nành trên mẹt tre",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0023,priv_d_0023.jpg,../../images/priv_d_0023.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0023.jpg,CONFIRMED,NONE,Ảnh chụp hai kệ xe đẩy inox nhiều tầng chứa đầy các mẻ bánh bao trắng tròn trong xưởng bánh.,PRESENT,Ảnh chụp các khay bánh bao trắng mới hấp xếp kín trên hai kệ xe đẩy inox của xưởng làm bánh,PRESENT,Ảnh chụp các khay bánh bao trắng mới hấp xếp kín trên hai kệ xe đẩy inox của xưởng làm bánh,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0024,priv_d_0024.jpg,../../images/priv_d_0024.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0024.jpg,CONFIRMED,NONE,"Ảnh chụp kệ sắt trưng bày đa dạng sản phẩm tiêu dùng nhanh gồm dầu gội, sữa tắm, khăn giấy và băng vệ sinh.",PRESENT,"Ảnh chụp kệ hàng tạp hóa bày bán các loại dầu gội, sữa tắm và băng vệ sinh thương hiệu Dove, Sunsilk, Clear, Romano, Kotex, Diana, KenKen",PRESENT,"Ảnh chụp kệ hàng tạp hóa bày bán các loại dầu gội, sữa tắm và băng vệ sinh thương hiệu Dove, Sunsilk, Clear, Romano, Kotex, Diana, KenKen",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0025,priv_d_0025.jpg,../../images/priv_d_0025.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0025.jpg,CONFIRMED,NONE,Ảnh phong cảnh biển đảo Phú Quý với thuyền bè trên nền biển xanh và trời mây.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0026,priv_d_0026.jpg,../../images/priv_d_0026.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0026.jpg,CONFIRMED,NONE,Ảnh so sánh kết quả điều trị mụn trước và sau của khách hàng tại spa Kim Beauty.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0027,priv_d_0027.jpg,../../images/priv_d_0027.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0027.jpg,CONFIRMED,NONE,Ảnh ghép nhiều khung hình giới thiệu món hoa quả dầm sữa chua và sữa chua dẻo xắt miếng của quán Trà Sữa SHARE.,PRESENT,"Ảnh ghép giới thiệu các món hoa quả dầm sữa chua dẻo nhiều vị như bơ tươi, xoài, matcha, dâu tây của quán Trà Sữa SHARE",PRESENT,"Ảnh ghép giới thiệu các món hoa quả dầm sữa chua dẻo nhiều vị như bơ tươi, xoài, matcha, dâu tây của quán Trà Sữa SHARE",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0028,priv_d_0028.jpg,../../images/priv_d_0028.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0028.jpg,CONFIRMED,NONE,Ảnh chụp hộp sữa TH true MILK Sữa Tươi Tiệt Trùng Nguyên Chất 180ml trên bàn gỗ kèm thông tin bổ sung canxi.,PRESENT,Ảnh chụp thực tế hộp Sữa Tươi Tiệt Trùng Nguyên Chất TH true MILK dung tích 180ml đặt cạnh chậu cây xanh,PRESENT,Ảnh chụp thực tế hộp Sữa Tươi Tiệt Trùng Nguyên Chất TH true MILK dung tích 180ml đặt cạnh chậu cây xanh,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0029,priv_d_0029.jpg,../../images/priv_d_0029.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0029.jpg,CONFIRMED,NONE,Ảnh chụp hai con khô mực nướng ớt cay đặt trên đĩa nhựa xanh kèm dòng chữ Khô mực nướng muối ớt.,PRESENT,Ảnh chụp hai con khô mực nướng muối ớt tẩm gia vị đỏ cay đặt trên đĩa nhựa xanh,PRESENT,Ảnh chụp hai con khô mực nướng muối ớt tẩm gia vị đỏ cay đặt trên đĩa nhựa xanh,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0030,priv_d_0030.jpg,../../images/priv_d_0030.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0030.jpg,CONFIRMED,NONE,"Ảnh ghép 4 khung hình ghi lại khoảnh khắc đời thường gồm đồ uống, chụp ảnh trước gương và góc phòng ngủ.",ABSENT,,PRESENT,Ảnh ghép có ly cà phê Mật Tea & Coffee và các hộp đồ ăn vặt trong không gian quán.,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0031,priv_d_0031.jpg,../../images/priv_d_0031.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0031.jpg,CONFIRMED,NONE,Ảnh chụp nhiều quả bưởi da xanh và dứa tươi xếp trên nền nhà lót báo.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0032,priv_d_0032.jpg,../../images/priv_d_0032.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0032.jpg,CONFIRMED,NONE,Ảnh chụp gấu bông màu trắng bên cạnh tranh sơn số hóa và tranh ghép hình.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0033,priv_d_0033.jpg,../../images/priv_d_0033.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0033.jpg,CONFIRMED,NONE,Ảnh chụp khung cảnh nhìn từ ban công phòng ra đường phố kiến trúc phong cách châu Âu.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0034,priv_d_0034.jpg,../../images/priv_d_0034.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0034.jpg,CONFIRMED,NONE,Ảnh chụp chai sữa rửa mặt tạo bọt CAPPIR SKIN hương hoa hồng 150ml trên tay cùng lớp bọt xốp mềm mịn.,PRESENT,Ảnh chụp thực tế chai bọt rửa mặt CAPPIR SKIN Facial Cleansing Mousse Fresh Rose Fragrance 150ml kèm bọt trắng trên tay,PRESENT,Ảnh chụp thực tế chai bọt rửa mặt CAPPIR SKIN Facial Cleansing Mousse Fresh Rose Fragrance 150ml kèm bọt trắng trên tay,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0035,priv_d_0035.jpg,../../images/priv_d_0035.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0035.jpg,CONFIRMED,NONE,Ảnh chụp thảm chùi chân dệt hình thú cưng đặt trước cửa phòng tắm.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0036,priv_d_0036.jpg,../../images/priv_d_0036.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0036.jpg,CONFIRMED,NONE,Ảnh chụp thực tế chiếc bánh bao nhân xá xíu phô mai kéo sợi thơm ngon kèm dòng chữ Truyền thống xá xíu phô mai 25k.,PRESENT,Ảnh chụp cận cảnh chiếc bánh bao nóng bẻ đôi để lộ nhân thịt xá xíu ngập phô mai béo ngậy trên tay,PRESENT,Ảnh chụp cận cảnh chiếc bánh bao nóng bẻ đôi để lộ nhân thịt xá xíu ngập phô mai béo ngậy trên tay,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0037,priv_d_0037.jpg,../../images/priv_d_0037.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0037.jpg,CONFIRMED,NONE,Ảnh chụp quầy xe đẩy bán bánh bao nóng hổi với nồi hấp inox và hình ảnh minh họa các loại nhân bánh bao.,PRESENT,"Ảnh chụp xe đẩy bán bánh bao nóng hổi với bảng menu các loại nhân thịt xá xíu, gà nấm, xúc xích phô mai và nồi hấp inox",PRESENT,"Ảnh chụp xe đẩy bán bánh bao nóng hổi với bảng menu các loại nhân thịt xá xíu, gà nấm, xúc xích phô mai và nồi hấp inox",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0038,priv_d_0038.jpg,../../images/priv_d_0038.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0038.jpg,CONFIRMED,NONE,Ảnh chụp hộp giấy sản phẩm sáp tẩy trang cao cấp The Whoo Gong Jin Hyang dung tích 50ml trên tay.,PRESENT,Ảnh chụp thực tế hộp sáp tẩy trang THE WHOO Gong Jin Hyang Clarifying Cleansing Balm 50ml trên tay người cầm,PRESENT,Ảnh chụp thực tế hộp sáp tẩy trang THE WHOO Gong Jin Hyang Clarifying Cleansing Balm 50ml trên tay người cầm,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0039,priv_d_0039.jpg,../../images/priv_d_0039.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0039.jpg,CONFIRMED,NONE,Ảnh phối cảnh không gian nội thất phòng ngủ với bàn trang điểm và hệ tủ kệ gỗ có đèn led.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0040,priv_d_0040.jpg,../../images/priv_d_0040.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0040.jpg,CONFIRMED,NONE,Ảnh chụp món cá viên chiên thập cẩm đẫm sốt tương ớt Hàn Quốc rắc hành phi trong hộp xốp mang đi.,PRESENT,Ảnh chụp hộp xốp đựng cá viên chiên thập cẩm sốt cay Hàn Quốc phủ ngập sốt ớt và hành phi giòn,PRESENT,Ảnh chụp hộp xốp đựng cá viên chiên thập cẩm sốt cay Hàn Quốc phủ ngập sốt ớt và hành phi giòn,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0041,priv_d_0041.jpg,../../images/priv_d_0041.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0041.jpg,CONFIRMED,NONE,Ảnh chụp hai phần đồ ăn đóng hộp gồm gà ủ muối tiêu và tré trộn tỏi ớt kèm số điện thoại của Diệu Anh Food.,PRESENT,Ảnh chụp hai hộp thức ăn mang đi gồm gà ủ muối và tré trộn nem chả xoài xanh của thương hiệu Diệu Anh Food,PRESENT,Ảnh chụp hai hộp thức ăn mang đi gồm gà ủ muối và tré trộn nem chả xoài xanh của thương hiệu Diệu Anh Food,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0042,priv_d_0042.jpg,../../images/priv_d_0042.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0042.jpg,CONFIRMED,NONE,Banner quảng cáo chai gel tẩy da chết Centellian24 Madeca Matcha Toning Peeling Gel 150ml đặt trên đồi bột matcha.,PRESENT,Banner giới thiệu thành phần tẩy tế bào chết Centellian24 Madeca Matcha Toning Peeling Gel trên nền gò bột trà xanh,PRESENT,Banner giới thiệu thành phần tẩy tế bào chết Centellian24 Madeca Matcha Toning Peeling Gel trên nền gò bột trà xanh,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0043,priv_d_0043.jpg,../../images/priv_d_0043.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0043.jpg,CONFIRMED,NONE,Ảnh chụp bộ trang phục áo sơ mi lụa cổ nơ dài tay màu hồng và quần tây ống rộng màu trắng kem.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0044,priv_d_0044.jpg,../../images/priv_d_0044.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0044.jpg,CONFIRMED,NONE,Ảnh banner đồ họa chứa câu trích dẫn chia sẻ trải nghiệm tham gia sự kiện của The Right Turn.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0045,priv_d_0045.jpg,../../images/priv_d_0045.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0045.jpg,CONFIRMED,NONE,Ảnh chụp túi nước cốt rạm đã lọc cầm trên tay cùng các bịch thực phẩm đặc sản chế biến sẵn của thương hiệu PhePhaFood.,PRESENT,Ảnh chụp các bịch cốt rạm đông lạnh đóng gói sẵn cùng đòn chả và món đặc sản xứ Huế của PhePhaFood,PRESENT,Ảnh chụp các bịch cốt rạm đông lạnh đóng gói sẵn cùng đòn chả và món đặc sản xứ Huế của PhePhaFood,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
